ONS ID,ONS region ID,Constituency,County name,Region name,Country name,Constituency type,Declaration time,MemberFirstName,MemberSurname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,WinningVotes,WinningShare,Majority,Con,Lab,LD,BRX,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner
E14000576,E12000008,Bognor Regis and Littlehampton,West Sussex,South East,England,County,13/12/2019 04:42,Nick,Gibb,Male,Con hold,Con,Lab,"77,446","51,223",208,"32,521",63.5%,"22,503","32,521","10,018","5,645",0,"1,826",0,0,0,0,0,0,0,"1,213",0
E14000577,E12000004,Bolsover,Derbyshire,East Midlands,England,County,13/12/2019 05:05,Mark,Fletcher,Male,Con gain from Lab,Con,Lab,"74,292","45,938",151,"21,791",47.4%,"5,299","21,791","16,492","1,759","4,151",758,0,0,0,0,0,0,0,987,0
E14000578,E12000002,Bolton North East,Greater Manchester,North West,England,Borough,13/12/2019 03:22,Mark,Logan,Male,Con gain from Lab,Con,Lab,"67,564","43,556",112,"19,759",45.4%,378,"19,759","19,381","1,847","1,880",689,0,0,0,0,0,0,0,0,0
E14000579,E12000002,Bolton South East,Greater Manchester,North West,England,Borough,13/12/2019 02:50,Yasmin,Qureshi,Female,Lab hold,Lab,Con,"69,163","40,604",111,"21,516",53.0%,"7,598","13,918","21,516","1,411","2,968",791,0,0,0,0,0,0,0,0,0
E14000580,E12000002,Bolton West,Greater Manchester,North West,England,County,13/12/2019 02:34,Chris,Green,Male,Con hold,Con,Lab,"73,191","49,298",163,"27,255",55.3%,"8,855","27,255","18,400","2,704",0,939,0,0,0,0,0,0,0,0,0
E14000581,E12000002,Bootle,Merseyside,North West,England,Borough,13/12/2019 02:08,Peter,Dowd,Male,Lab hold,Lab,Con,"74,832","49,174",149,"39,066",79.4%,"34,556","4,510","39,066","1,822","2,610","1,166",0,0,0,0,0,0,0,0,0
E14000582,E12000004,Boston and Skegness,Lincolnshire,East Midlands,England,County,13/12/2019 04:47,Matt,Warman,Male,Con hold,Con,Lab,"69,381","41,696",175,"31,963",76.7%,"25,621","31,963","6,342","1,963",0,0,0,0,0,0,0,0,0,"1,428",0
E14000583,E12000004,Bosworth,Leicestershire,East Midlands,England,County,13/12/2019 02:52,Luke,Evans,Male,Con hold,Con,Lab,"81,542","56,432",234,"36,056",63.9%,"26,278","36,056","9,778","9,096",0,"1,502",0,0,0,0,0,0,0,0,0
E14000584,E12000009,Bournemouth East,Dorset,South West,England,Borough,13/12/2019 05:03,Tobias,Ellwood,Male,Con hold,Con,Lab,"74,125","49,274",188,"24,926",50.6%,"8,806","24,926","16,120","5,418",0,"2,049",0,0,0,0,0,0,0,761,0
E14000585,E12000009,Bournemouth West,Dorset,South West,England,Borough,13/12/2019 04:56,Conor,Burns,Male,Con hold,Con,Lab,"74,205","45,977",211,"24,550",53.4%,"10,150","24,550","14,400","4,931",0,"2,096",0,0,0,0,0,0,0,0,0
