ONS ID,ONS region ID,Constituency name,County name,Region name,Country name,MemberFirstName,MemberSurname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,FormulaWonVotes,FormulaWonShare,WinningVotes,WinningVoteShare,Con,Lab,LD,RUK,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner
E14001472,E12000003,Shipley,,Yorkshire and The Humber,England,Anna,Dixon,Female,Lab gain from Con,Lab,Con,74130,48303,147,8603,21738,45.0%,21738,45.0%,13135,21738,1341,7238,3605,0,0,0,0,0,0,0,1246,0
E14001473,E12000005,Shrewsbury,,West Midlands,England,Julia,Buckley,Female,Lab gain from Con,Lab,Con,76599,51560,195,11355,22932,44.5%,22932,44.5%,11577,22932,6722,7524,2387,0,0,0,0,0,0,0,418,0
E14001474,E12000008,Sittingbourne and Sheppey,,South East,England,Kevin,McKenna,Male,Lab gain from Con,Lab,Con,79067,40998,90,355,11919,29.1%,11919,29.1%,11564,11919,1321,10512,1692,0,0,0,0,0,0,0,3990,0
E14001475,E12000003,Skipton and Ripon,,Yorkshire and The Humber,England,Julian,Smith,Male,Con hold,Con,Lab,79238,53450,164,1650,18833,35.2%,18833,35.2%,18833,17183,4194,8516,3446,0,0,0,0,0,0,0,1278,0
E14001476,E12000004,Sleaford and North Hykeham,,East Midlands,England,Caroline,Johnson,Female,Con hold,Con,Lab,75651,48565,196,4346,17348,35.7%,17348,35.7%,17348,13002,2264,10484,2435,0,0,0,0,0,0,0,3032,0
E14001477,E12000008,Slough,,South East,England,Tan,Dhesi,Male,Lab hold,Lab,INet,81295,43278,167,3647,14666,33.9%,14666,33.9%,7457,14666,2060,3352,1873,0,0,0,0,0,0,0,13870,0
E14001478,E12000005,Smethwick,,West Midlands,England,Gurinder,Josan,Male,Lab hold,Lab,RUK,72863,35115,211,11188,16858,48.0%,16858,48.0%,4546,16858,1018,5670,2741,0,0,0,0,0,0,0,4282,0
E14001479,E12000005,Solihull West and Shirley,,West Midlands,England,Neil,Shastri-Hurst,Male,Con hold,Con,Lab,71816,46877,151,4620,16284,34.7%,16284,34.7%,16284,11664,7916,7149,3270,0,0,0,0,0,0,0,594,0
N05000014,N92000002,South Antrim,,Northern Ireland,Northern Ireland,Robin,Swann,Male,UUP gain from DUP,UUP,DUP,77058,42908,181,7512,16311,38.0%,16311,38.0%,0,0,0,0,541,0,0,8799,8034,1589,16311,4574,3060,0
E14001480,E12000006,South Basildon and East Thurrock,,East of England,England,James,McMurdock,Male,RUK gain from Con,RUK,Lab,72673,39549,123,98,12178,30.8%,12178,30.8%,10159,12080,1071,12178,1718,0,0,0,0,0,0,0,2343,0
